[2023-04-28 11:27:20.095][218787][debug][CommonDef.cpp:GetLoggerHandle:25] DEBUG log is enabled!
[2023-04-28 11:27:20.095][218787][info][CommonDef.cpp:GetLoggerHandle:26] INFO log is enabled!
[2023-04-28 11:27:20.095][218787][info][GetImageThread.cpp:CGetImageThread:27] CGetImageThread::CGetImageThread...
[2023-04-28 11:27:20.108][218787][info][FeatureMatchThread.cpp:CFeatureMatchThread:25] CFeatureMatchThread::CFeatureMatchThread...
[2023-04-28 11:27:20.108][218787][info][FeatureMatchThread.cpp:Init:38] save path:/media/xxd/Data2/datasets/image_stitching/za/
[2023-04-28 11:27:20.108][218787][info][APAPProjectThread.cpp:CAPAPProjectThread:12] CAPAPProjectThread::CAPAPProjectThread...
[2023-04-28 11:27:20.108][218812][info][GetImageThread.cpp:Run:298] CGetImageThread run...
[2023-04-28 11:27:20.109][218813][info][FeatureMatchThread.cpp:Run:295] CFeatureMatchThread run....
[2023-04-28 11:27:20.109][218814][info][APAPProjectThread.cpp:Run:350] CAPAPProjectThread run....
[2023-04-28 11:27:20.169][218812][info][GetImageThread.cpp:GetNextFrame:213] Set start frame:90
[2023-04-28 11:27:20.479][218813][info][FeatureMatchThread.cpp:Run:338] Add new key frame, id:0
[2023-04-28 11:27:22.070][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:203] Add first pair<12,0>
[2023-04-28 11:27:22.070][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:12, matched size:1
[2023-04-28 11:27:22.292][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6751935564435565 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:22.447][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6502518315018315 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:22.493][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6166396103896103 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:22.575][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5926271645021645 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:22.629][218814][info][APAPProjectThread.cpp:Run:382] process pair<12,0> finished.
[2023-04-28 11:27:22.673][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5753382034632034 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:22.792][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5531406093906094 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:22.895][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.531155303030303 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:23.004][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.47779095904095903 > dOverlapRatioWithLastKF0,ignore this frame
